Id,Label,timeset,username,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,clustering,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2056,,,dualvectorfoil,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
2057,,,dr_CatKo,0,1,1,0,1,1,0,0,1,1,1,0
2058,,,zhonnika,0,1,1,0,1,1,0,0,1,1,1,0
2059,,,DadeMeghan,0,2,2,0,2,2,0,0,1,1,1,0
2060,,,hiki_akibs,1,1,2,1,1,2,0,0.006687,0,0,0,0
2061,,,HdzPaoo,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
2062,,,crownbias,0,1,1,0,1,1,0,0,1,1,1,0
2063,,,BonnieSalm,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
2064,,,pschaap,4,1,5,4,1,5,0.25,0.026749,0,0,0,0
2065,,,drtomas17,0,1,1,0,1,1,0,0,1,1,1,0
2066,,,AnnaWorsnip,0,2,2,0,2,2,0,0,1,1,1,0
2067,,,SmugMischief,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
2068,,,Goldenashtonus,0,1,1,0,1,1,0,0,1,1,1,0
2069,,,nhathavo51129,0,2,2,0,2,2,0,0,1,1,1,0
2070,,,TheRealBudBundy,1,1,2,1,1,2,0,0.006687,0,0,0,0
2071,,,MomPve,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
2072,,,JPMillerVA,0,1,1,0,1,1,0,0,1,1,1,0
2073,,,dcyiyou,1,1,2,1,1,2,0,0.006687,0,0,0,0
2074,,,KittenHuLuLu,0,1,1,0,1,1,0,0,1,1,1,0
2075,,,MikeZeigle,12,1,13,16,5,21,0.083333,0.080246,0,0,0,0
2076,,,all_serena,0,1,1,0,1,1,0,0,1,1,1,0
2077,,,JIMlNJIMIN,0,1,1,0,1,1,0,0,1,1,1,0
2078,,,arinelri,0,1,1,0,1,1,0,0,1,1,1,0
2079,,,oliverpee,3,1,4,4,1,5,0.333333,0.075969,0,0,0,0
2080,,,deathwizard57,1,1,2,1,1,2,0,0.006687,0,0,0,0
2081,,,ryan_fontanetta,2,1,3,2,1,3,0.5,0.069282,0,0,0,0
2082,,,whatdowehaveher,1,1,2,1,1,2,0,0.006687,0,0,0,0
2083,,,glutenhatr,1,1,2,2,2,4,0,0.006687,0,0,0,0
2084,,,SayNoToSino,0,3,3,0,3,3,0,0,1,1,1,0
